Accession.Number,Genes,Protein.Description,Gan_b4_1,Gan_b4_2,Gan_b4_3,Gan_b4_4,Gan_b4_5,Gan_b4_6,Gan_b4_7,Gan_b4_8,Gan_b4_9,Gan_b4_10,Gan_b4_11,Gan_b4_12,Gan_b4_13,Gan_b4_15,Gan_b4_16,Gan_b4_17,Gan_b4_18
P35579,MYH9,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,251725.5201,263403.8898,267967.7831,275292.9512,271861.4282,291789.8421,283638.6639,283253.8903,287324.2012,319489.9446,239818.924,287557.9264,302589.4474,313304.5487,339187.7497,298298.515,318203.1352
Q9BW30,TPPP3,Tubulin polymerization-promoting protein family member 3 OS=Homo sapiens OX=9606 GN=TPPP3 PE=1 SV=1,248287.8811,244072.6534,224207.5453,250302.1296,214856.4884,152549.5729,211105.3177,217105.233,270881.0406,211195.1399,302545.3803,228293.7377,219031.9554,265455.6283,138773.0966,161224.0793,174740.8569
Q93045,STMN2,Stathmin-2 OS=Homo sapiens OX=9606 GN=STMN2 PE=1 SV=3,817557.8483,714189.7708,787476.6581,813267.3161,702623.0352,577687.6172,660329.3587,670110.2504,858024.451,678585.2284,1169489.258,888372.4362,803297.4243,733543.1078,506390.0808,714315.9574,605739.7639
Q14671,PUM1,Pumilio homolog 1 OS=Homo sapiens OX=9606 GN=PUM1 PE=1 SV=3,275106.7753,294423.2986,282826.8868,279286.9678,265616.1109,238812.1669,237475.9395,255353.111,255657.2804,271858.0485,291438.4789,254937.1967,259533.3885,240206.9278,225606.4658,219133.4305,229187.882
H0YC97;H0YDK8;Q5T1Z4;Q5T1Z8,PUM1,Pumilio RNA binding family member 1 (Fragment) OS=Homo sapiens OX=9606 GN=PUM1 PE=1 SV=1,623206.0637,657095.957,591163.2989,656237.1079,553660.3049,677565.473,588312.6553,639499.0853,646170.1138,574534.7781,618595.5931,478207.5128,579990.241,693904.3114,629972.1891,620307.3827,578559.9429
Q14789,GOLGB1,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,117694.9603,116230.6172,116271.4676,119499.2763,115308.9796,121546.1921,133806.7551,119807.4378,125412.9321,125784.6631,133453.3731,119629.8082,112485.0605,111887.3757,107928.0906,118499.9315,112535.4135
Q9NRA2,SLC17A5,Sialin OS=Homo sapiens OX=9606 GN=SLC17A5 PE=1 SV=2,168233.2103,153179.103,149564.7075,144460.4962,175945.7591,183142.4466,183391.1062,144939.3717,160424.4726,138401.9582,132781.5134,193982.6088,153345.4601,97584.23163,185433.2807,203134.1023,191438.4858
P43304,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GPD2 PE=1 SV=3",636240.7561,641568.2937,633260.9378,645581.0922,645321.6447,620560.15,608303.9155,583672.8152,585383.179,704908.1744,619246.2258,686674.948,662954.7951,614651.9938,652853.4401,610761.7148,635200.7785
Q14160,SCRIB,Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=5,250641.3101,254648.6485,251047.0253,263164.8626,243637.966,229880.8136,233855.2902,234858.4271,241210.1708,252486.6162,261625.5602,249412.6787,239407.3908,240885.1346,237089.9551,247049.3921,240544.5288
Q7Z3C6,ATG9A,Autophagy-related protein 9A OS=Homo sapiens OX=9606 GN=ATG9A PE=1 SV=3,168944.6559,166570.5146,151477.2112,171415.9285,173339.7406,193393.4262,185573.6264,174793.7773,177076.3518,148335.6565,134284.0673,165021.7392,139621.5924,166653.6373,176747.9676,163371.3643,159965.9518
Q9H4B0,OSGEPL1,"tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OSGEPL1 PE=1 SV=2",187987.2773,193027.6114,184432.1837,205234.1759,208352.5556,211336.116,210558.1197,202299.958,194850.7096,240609.3332,195706.6814,211504.177,220346.6237,219394.4774,230149.017,219527.544,196948.677
P22570,FDXR,"NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=FDXR PE=1 SV=3",287663.1497,299105.1717,293996.7559,291583.3468,296122.1843,292066.8654,276535.5582,267563.814,251481.2659,310828.7552,238119.1328,279999.4116,285283.5351,286074.3345,313662.7072,272925.065,296178.8415
Q07866,KLC1,Kinesin light chain 1 OS=Homo sapiens OX=9606 GN=KLC1 PE=1 SV=2,360836.5927,339415.8872,343468.8064,343017.1634,335598.6694,352894.5245,379926.7387,390316.5457,431030.0135,333321.3494,385670.9123,362582.2701,349970.7152,392473.791,368401.7949,388176.8148,376471.9117
Q08170,SRSF4,Serine/arginine-rich splicing factor 4 OS=Homo sapiens OX=9606 GN=SRSF4 PE=1 SV=2,407676.2326,451253.5293,447054.8101,421021.1913,421274.5129,387977.6767,335887.8489,386513.2952,322695.3985,504043.3389,438771.7009,395603.1204,466335.2239,382659.5474,395913.1072,370099.7165,394287.3502
Q14919,DRAP1,Dr1-associated corepressor OS=Homo sapiens OX=9606 GN=DRAP1 PE=1 SV=3,419397.4357,341314.8691,323721.2072,410490.6598,369619.213,461316.7801,483067.0536,502555.4724,536339.5716,318213.6794,409804.3322,383337.0852,348927.0781,599642.7418,460578.2633,515466.6412,492190.7247
Q9Y617,PSAT1,Phosphoserine aminotransferase OS=Homo sapiens OX=9606 GN=PSAT1 PE=1 SV=2,449557.9105,444136.8189,426132.5943,444484.6556,455486.7117,482925.0569,464572.2901,459007.4773,428910.8675,495962.5271,426033.123,444051.4797,475705.9567,509717.3462,539583.0972,478394.902,532243.7138
P50542,PEX5,Peroxisomal targeting signal 1 receptor OS=Homo sapiens OX=9606 GN=PEX5 PE=1 SV=3,151252.4793,150725.3512,152385.9113,139803.8214,141128.3063,155846.2305,168730.7958,159339.1706,151979.6758,142283.7359,171149.909,132101.6463,151550.9815,162105.7838,162179.8559,166481.9825,154567.0764
P19338,NCL,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,603416.1587,603677.9351,634002.9994,617140.1046,615491.5523,562810.245,555859.7618,600718.3214,582474.6711,643106.3058,691188.5414,645169.6534,673089.6886,606095.0754,510783.4499,595721.7406,566496.454
Q9BSH4,TACO1,Translational activator of cytochrome c oxidase 1 OS=Homo sapiens OX=9606 GN=TACO1 PE=1 SV=1,276286.8055,299798.9126,304396.7542,295754.3659,304541.9892,256310.4004,251954.537,286608.3905,296802.4479,283445.3744,270429.1641,268306.6432,283212.5723,264540.3352,261729.5142,226406.6699,231060.6177
Q9Y3L3,SH3BP1,SH3 domain-binding protein 1 OS=Homo sapiens OX=9606 GN=SH3BP1 PE=1 SV=3,80716.84813,92598.18338,74870.69987,89955.87835,78701.11746,108481.5897,96443.39586,87347.71848,74994.42262,82658.04549,77853.08807,76171.62562,74917.60427,62106.81805,93055.93912,79503.62105,76849.62688
O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3,1113241.175,1054568.49,1027923.636,1144020.759,1214281.225,1129134.295,1072835.715,1080408.998,1033358.478,1204193.922,1236488.289,1046932.879,1119643.237,909115.8844,934161.3754,951914.736,861466.8973
Q9BXY0,MAK16,Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2,242477.6559,247902.0687,244178.3518,241253.2589,249376.4674,230577.7062,206778.6667,213257.0426,202938.3406,239929.9671,218896.6765,204482.3243,226139.119,188157.7874,186612.7586,174548.1765,177096.246
Q9Y2Z0,SUGT1,Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,197094.4054,185921.7819,189096.9928,187610.7448,176213.0029,168059.2756,179866.6926,177435.0281,203871.3101,163849.5227,178884.4249,176115.9033,169176.6759,182141.4634,151366.7353,157187.7686,159159.0442
O60282,KIF5C,Kinesin heavy chain isoform 5C OS=Homo sapiens OX=9606 GN=KIF5C PE=1 SV=1,451011.8065,432814.2099,459113.992,437898.7983,427949.8614,467305.2225,496440.99,495721.7986,530430.0302,450065.4211,486131.9669,457586.356,461361.2386,517223.0878,506452.0928,497847.8365,498706.344
O15068,MCF2L,Guanine nucleotide exchange factor DBS OS=Homo sapiens OX=9606 GN=MCF2L PE=1 SV=2,107440.7653,102380.9633,101353.7284,105745.7323,109186.5318,106984.4931,115075.293,96147.30406,95053.74118,91658.85575,115857.6205,100468.8686,101185.8665,75957.13397,94096.59058,119961.5988,98325.5244
A0A0C4DG68,PUM2,Pumilio RNA binding family member 2 (Fragment) OS=Homo sapiens OX=9606 GN=PUM2 PE=1 SV=1,68601.75481,66755.42642,74028.45198,80828.51013,86525.3397,75731.57802,69882.779,68547.70811,68564.58633,67511.1559,67385.58872,68291.50298,69866.75139,54593.51604,59956.43259,60969.84319,55075.54936
Q9Y265,RUVBL1,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,712056.2732,715411.1659,690075.9555,702774.0573,720341.8061,766286.1209,728554.1175,716195.888,693914.4361,738487.8425,668987.1643,692670.0934,712608.2498,774956.6501,819948.0322,768469.9762,784894.0514
Q9BVI4,NOC4L,Nucleolar complex protein 4 homolog OS=Homo sapiens OX=9606 GN=NOC4L PE=1 SV=1,121530.6806,144964.075,132930.0076,122976.9968,127527.5157,127459.1845,103184.4213,105188.0067,91844.12093,118133.3147,97620.31828,101209.9557,114585.2985,104567.1684,114086.8815,97731.55967,103823.4462
Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3 OS=Homo sapiens OX=9606 GN=EIF2AK3 PE=1 SV=3,227685.0847,259357.6889,225745.634,232956.2409,243591.2423,263128.9546,236785.338,199221.9859,183270.1752,200323.058,134317.2814,158151.6388,181649.7973,162165.3129,188049.8995,188394.4031,196931.9724
Q96E39,RBMXL1,"RNA binding motif protein, X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1",375135.9629,377260.2936,383292.1498,377893.8738,351706.2068,335558.5984,331524.3965,350648.8461,349322.0388,364253.4585,401009.5252,406105.0396,387068.3621,370775.7913,227349.1107,333021.1848,316496.4781
Q14152,EIF3A,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,587278.8432,586869.4444,561841.7506,591314.5905,572664.5728,598911.5959,574242.5185,579840.7134,570499.1989,566338.7619,546904.7076,559080.0423,563622.1796,588124.1756,597331.3724,574410.2668,581855.6479
Q13325,IFIT5,Interferon-induced protein with tetratricopeptide repeats 5 OS=Homo sapiens OX=9606 GN=IFIT5 PE=1 SV=1,166127.7355,167171.6371,172538.0487,163585.5681,160185.3601,153997.4024,154957.1329,155373.8648,165883.4624,152995.1565,153444.3538,159078.0972,161067.0526,178150.1521,155907.4075,142945.4055,151738.6498
Q9H5X1,CIAO2A,Cytosolic iron-sulfur assembly component 2A OS=Homo sapiens OX=9606 GN=CIAO2A PE=1 SV=1,361087.3479,373522.7604,349695.2029,350340.5983,428652.9094,369599.1223,382777.4499,384291.2028,345677.5427,379450.0949,358200.9691,381965.0324,366771.6556,379475.4675,423339.711,313494.1041,393703.895
Q9BQ52,ELAC2,Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2,242153.1409,270228.8179,262581.6911,244436.2377,263055.7582,284020.9354,231394.1354,212867.3127,213311.1717,243797.4727,176548.1704,201684.631,226989.579,233467.7173,258216.4014,188582.9146,245828.3274
Q9NZL4,HSPBP1,Hsp70-binding protein 1 OS=Homo sapiens OX=9606 GN=HSPBP1 PE=1 SV=2,345789.4038,318698.7666,329679.3092,343107.7018,357911.8786,372227.2047,377007.2835,348946.0028,338362.6182,296699.7406,319215.3982,304253.6142,316696.0417,351325.2519,377091.8436,369029.5324,369869.6761
O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1,454518.3657,438489.8614,436740.2695,427561.088,435821.6182,474349.7414,475182.7025,475178.4257,459698.8463,426557.6731,451863.7255,473351.4202,413566.3588,485504.2351,455984.799,518172.5785,469307.2103
P46108,CRK,Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=2,374477.8613,347457.8897,374998.6886,362305.3013,351275.4105,345531.2323,369171.4793,360218.9167,389065.2881,324541.1455,405201.43,363462.9769,338781.6692,370184.4349,300963.5884,351719.0838,379508.5334
Q9NYB9,ABI2,Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1,246323.4469,199988.8587,234383.7176,220646.0301,220141.8601,240277.6661,284018.8545,260061.7749,313858.7947,215932.8182,275777.6644,248414.3733,241656.8007,272537.3249,271339.18,295184.3562,279444.5591
P56937,HSD17B7,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 OS=Homo sapiens OX=9606 GN=HSD17B7 PE=1 SV=1,218144.4366,219625.1651,225173.3142,217316.9532,213196.3399,225238.0133,222429.5201,220736.8127,221047.4468,213186.5034,218186.4162,241451.2037,215129.4434,202915.0751,217175.364,218640.0152,215260.2224
O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EDIL3 PE=1 SV=1,848010.5249,827704.3592,842752.5372,832632.6723,821657.4999,967798.8639,1011892.608,1013519.44,943842.1859,742931.7953,987498.5745,815859.09,759931.5159,975465.2611,918365.2198,1174641.241,1029408.44
Q13740,ALCAM,CD166 antigen OS=Homo sapiens OX=9606 GN=ALCAM PE=1 SV=2,655220.6839,668403.258,731721.1403,712691.0567,630513.8518,479662.291,556188.2187,584896.741,700036.7131,476078.676,759019.7605,683686.1812,532876.2504,518784.0521,326480.9742,463169.4202,365491.9968
Q9H857,NT5DC2,5'-nucleotidase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NT5DC2 PE=1 SV=1,484829.6115,495335.8485,474107.316,499900.3079,493169.5415,517761.3773,470254.2559,475934.9232,424449.5721,539515.3176,487101.6907,527715.4769,531051.1407,500345.3605,550746.8833,514242.0144,543213.798
P24941,CDK2,Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2,189817.394,237277.5112,216977.1148,222657.1786,222088.801,182149.7299,,205615.5715,151426.2211,219127.0155,166613.735,187475.4278,232768.0193,209008.3508,158878.2812,121861.7899,154862.868
Q8TER5,ARHGEF40,Rho guanine nucleotide exchange factor 40 OS=Homo sapiens OX=9606 GN=ARHGEF40 PE=1 SV=3,105693.7201,133527.7082,143778.4156,129716.4004,150649.3006,140821.3858,137134.3307,131724.4221,126375.7624,118163.489,115390.4178,110822.0508,115992.4088,140321.8064,135859.6969,131754.8839,122466.311
P35813,PPM1A,Protein phosphatase 1A OS=Homo sapiens OX=9606 GN=PPM1A PE=1 SV=1,204496.03,180803.8904,184226.666,182151.161,155280.5174,178535.09,194508.6649,196231.7322,215760.284,190316.8839,196774.4729,183708.9196,190038.3348,214593.812,186139.8753,158881.1643,185591.7063
Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6 OS=Homo sapiens OX=9606 GN=ACBD6 PE=1 SV=1,412247.8346,419059.5005,424454.5633,391806.8147,363885.8623,417839.1287,389107.0043,391182.7263,367195.0233,390350.8823,361841.9612,342755.9298,365338.6596,375406.8683,443806.5886,426724.8362,437121.7609
Q86U38,NOP9,Nucleolar protein 9 OS=Homo sapiens OX=9606 GN=NOP9 PE=1 SV=1,177373.6557,174483.4572,171634.7397,164301.7419,167184.8693,161827.6098,123319.512,136084.711,110747.4945,168694.0794,152112.2862,135388.4737,166341.5587,117822.3714,146498.0169,127150.029,131061.9385
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2,322619.8844,313597.9504,328569.2904,317047.8977,333455.7093,313986.4498,285265.5183,316003.3846,295516.5391,363223.3224,304297.6918,331740.3042,347105.6143,311146.9589,316782.0206,315280.2002,313464.3336
O75390,CS,"Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2",897497.3602,933074.1087,958311.5093,928807.8983,949319.0971,900520.3013,880999.5703,909943.2868,820753.5106,1046728.141,1034807.888,941066.7098,1023653.493,833931.024,872653.3194,869131.6425,879448.2737
O75600,GCAT,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Homo sapiens OX=9606 GN=GCAT PE=1 SV=1",42816.53463,88609.64551,93466.00533,86024.78734,74437.31361,,,62425.57351,,155568.8259,90746.4399,107211.4328,149141.0853,90437.75976,96948.82313,,97398.29216
O43196,MSH5,MutS protein homolog 5 OS=Homo sapiens OX=9606 GN=MSH5 PE=1 SV=1,944530.5241,1066371.457,1158682.11,1094290.186,1017768.564,1010878.657,1031867.008,975986.4447,1007589.156,1055026.77,892058.7704,1061858.556,1001820.769,858299.3231,949935.6625,963150.7451,972221.7641
Q9Y3Q4,HCN4,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 OS=Homo sapiens OX=9606 GN=HCN4 PE=1 SV=1,87556.96399,83104.94737,86676.45295,91837.30304,80594.51855,78862.95041,96326.56969,98223.16874,102907.806,80304.87887,123801.5052,94624.71635,89887.29974,87813.78858,71775.1602,102284.2244,86454.46444
Q99574,SERPINI1,Neuroserpin OS=Homo sapiens OX=9606 GN=SERPINI1 PE=1 SV=1,158801.3454,152567.8277,158260.0525,158661.2451,146162.8511,144333.2219,152026.3326,143861.7197,162846.769,151488.8547,182524.9741,189150.0759,151956.4013,169030.1344,150935.2126,156972.8335,144640.3005
Q86UV5,USP48,Ubiquitin carboxyl-terminal hydrolase 48 OS=Homo sapiens OX=9606 GN=USP48 PE=1 SV=1,187563.3992,194124.0286,176302.138,181911.0311,189650.6808,185127.8724,166553.9669,178459.2777,156740.9695,175965.2427,145176.5745,152123.7734,160728.189,152600.8402,158514.0154,155289.2429,161552.2569
Q8NI36,WDR36,WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,199806.4098,208423.7547,196768.7247,200171.2953,210480.1586,200254.8988,178792.2176,184914.1377,155289.9646,205328.6594,178414.4321,180854.364,199266.2011,180208.6242,188671.7176,173861.0714,187242.5867
Q8N4V2,SVOP,Synaptic vesicle 2-related protein OS=Homo sapiens OX=9606 GN=SVOP PE=1 SV=1,199682.805,209579.0284,234896.8254,217693.5368,235280.7993,269126.2454,233001.6224,262030.8199,268579.2438,271028.5046,297130.0587,260095.2767,245511.4817,361767.0609,238219.7572,216481.6177,198275.2216
Q15046,KARS1,Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,370622.0151,366435.6595,379469.1469,372293.4929,374401.9595,357089.3868,377039.8599,371213.8042,374791.7602,384992.8574,394701.698,394545.4536,382066.521,382460.2958,360891.8018,380766.9131,360080.2535
P52306,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens OX=9606 GN=RAP1GDS1 PE=1 SV=3,341984.8739,333645.8781,342458.9881,332826.0971,311550.1584,322199.4822,349077.0101,359412.9697,386782.9569,326379.3827,358504.2285,332969.4972,342280.6868,353935.1352,321659.6789,318472.0815,334127.6711
D6RHZ7,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1 (Fragment) OS=Homo sapiens OX=9606 GN=RAP1GDS1 PE=1 SV=1,155659.0234,101655.336,115263.6604,147091.9303,118482.7413,120162.0308,100903.3247,101757.5645,162841.6365,109070.8083,100710.7764,142261.2012,124330.3119,170472.7154,144972.3906,128535.7535,123108.6719
Q15155,NOMO1,BOS complex subunit NOMO1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5,96685.78393,100141.5038,119045.4826,122795.1377,111544.2747,65834.1957,111458.7258,80362.92417,50185.80616,94846.43385,,104734.9828,87777.72872,157603.439,107202.6631,,74100.01736
P27695,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2,694729.3731,654012.8154,698334.1792,651838.1273,687344.5407,660581.6598,650231.1676,688307.1353,707308.0228,584100.7675,639136.1815,623508.9658,665953.7933,689171.5616,623649.7914,658384.641,683876.0428
Q96CX6,LRRC58,Leucine-rich repeat-containing protein 58 OS=Homo sapiens OX=9606 GN=LRRC58 PE=1 SV=2,53295.62047,48854.93498,49900.27151,51621.5736,59475.93679,69823.58541,77872.86907,54360.74001,62073.75799,46375.37637,58180.53148,44941.36333,57789.96958,65965.28255,72954.07552,78747.29545,76131.15525
Q9ULE6,PALD1,Paladin OS=Homo sapiens OX=9606 GN=PALD1 PE=1 SV=3,133623.4845,136779.5867,135915.5931,125235.5434,151704.389,151855.8656,134324.3615,129284.4494,120918.2677,152349.6019,118843.3807,120258.6027,160906.1926,125003.3913,160503.5643,117432.3469,143900.0507
Q9BYG4,PARD6G,Partitioning defective 6 homolog gamma OS=Homo sapiens OX=9606 GN=PARD6G PE=1 SV=1,43265.20926,31422.39945,46370.05058,43919.38159,41294.37057,54121.15733,56555.68906,43901.04756,40587.44137,52359.48004,50446.0644,38835.85936,41197.34203,27789.73525,46756.74066,64340.36032,45195.74501
Q7Z4W1,DCXR,L-xylulose reductase OS=Homo sapiens OX=9606 GN=DCXR PE=1 SV=2,900686.8795,902932.5967,873843.1763,906741.4714,929608.7418,910525.1932,894411.6845,856763.6224,847137.7268,959225.9181,911920.5492,930691.9092,941821.8483,842792.4211,853718.2798,879373.9499,876307.4873
P06493,CDK1,Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3,274594.8666,278285.2283,233116.2356,281573.8568,287119.679,272518.7493,236852.0454,237582.5646,206798.0477,297233.0663,217760.4111,246751.2042,288476.3835,261135.4978,286945.6255,193690.9444,247464.7988
Q8TF61,FBXO41,F-box only protein 41 OS=Homo sapiens OX=9606 GN=FBXO41 PE=2 SV=5,151076.9518,155264.4461,139724.1686,130674.1052,140378.8992,142812.3535,154578.0809,148568.5188,134395.5548,143791.6066,154687.4405,167217.4816,145389.2232,129675.3807,120553.0186,167821.756,158413.1528
Q2T9J0,TYSND1,Peroxisomal leader peptide-processing protease OS=Homo sapiens OX=9606 GN=TYSND1 PE=1 SV=3,,,,59788.05177,45326.97807,41256.14241,38572.83891,43586.02056,,,,,44717.33777,,64370.86343,46814.98207,50929.50571
Q96AY4,TTC28,Tetratricopeptide repeat protein 28 OS=Homo sapiens OX=9606 GN=TTC28 PE=1 SV=4,123386.6776,113896.3351,115563.6716,125587.2135,119389.0183,122946.7557,134702.0732,128117.8445,128423.7281,126062.4822,135874.1241,124993.3261,125767.6449,128913.4033,138013.318,131948.3199,132804.162
Q8IWT6,LRRC8A,Volume-regulated anion channel subunit LRRC8A OS=Homo sapiens OX=9606 GN=LRRC8A PE=1 SV=1,268109.5122,277820.2839,275026.3628,274506.2554,273401.2512,285955.5439,313495.4861,295773.7402,296040.2276,262423.1665,258474.2981,285787.6703,271429.9645,311511.3838,313687.4586,307349.5549,296385.8928
Q9H9A5,CNOT10,CCR4-NOT transcription complex subunit 10 OS=Homo sapiens OX=9606 GN=CNOT10 PE=1 SV=1,137928.3122,144729.2604,139229.9196,152337.6732,137988.408,152852.0335,120137.7634,156000.1548,140592.9386,155808.0178,157846.6646,158762.429,150387.775,158948.8623,141922.9862,166914.7351,157876.1082
Q15345,LRRC41,Leucine-rich repeat-containing protein 41 OS=Homo sapiens OX=9606 GN=LRRC41 PE=1 SV=3,110469.7596,120657.7367,92498.74589,150349.8242,152430.3128,143689.4526,155207.6132,106087.873,100248.9555,113120.4583,105360.356,103632.347,118150.9898,110742.8964,114354.2592,119003.5702,135301.262
Q5SW79,CEP170,Centrosomal protein of 170 kDa OS=Homo sapiens OX=9606 GN=CEP170 PE=1 SV=1,266788.4178,255356.1138,280829.9891,281689.9281,247454.4292,249771.3385,286809.3547,305702.4025,345043.9509,223035.944,325194.3745,293205.7834,260965.3856,285243.1983,223157.255,290133.4932,253086.7353
O14579,COPE,Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3,409328.2718,383955.9249,379062.5027,384342.8182,398299.6192,434388.3392,438412.1908,429383.1658,436955.7087,377387.3437,369425.6862,409907.1714,377399.0642,450720.5645,484374.8893,486012.4279,478471.3099
Q8IVT5,KSR1,Kinase suppressor of Ras 1 OS=Homo sapiens OX=9606 GN=KSR1 PE=1 SV=3,194246.1986,194462.4066,193194.4722,198765.6732,204007.8187,212139.1695,205986.3396,207925.1511,205373.9737,201059.2987,203406.7528,180443.2305,211284.2037,195688.5054,213220.1687,194173.2099,206453.1478
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens OX=9606 GN=PSMD5 PE=1 SV=3,370688.0586,354341.9234,362479.427,351785.4029,367271.0907,403515.7066,389199.3783,386369.7968,387413.1799,370851.1366,358610.7536,348275.8978,377612.5924,390012.6628,401004.2538,401125.2102,404131.0375
Q5TA50,CPTP,Ceramide-1-phosphate transfer protein OS=Homo sapiens OX=9606 GN=CPTP PE=1 SV=1,134981.2707,140516.7258,131626.5856,124763.8049,129872.6407,122426.5771,136523.7167,128552.3315,113079.6098,98935.23079,141490.0391,106066.4495,136371.4665,95605.89492,104188.2273,115607.9792,110182.2001
Q9P2R7,SUCLA2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=3",584753.1935,604056.9096,600433.048,590891.7579,616314.4901,605156.73,595619.8317,580567.9097,544356.4004,620880.1316,609944.2423,609881.2258,586626.2647,550986.158,566759.5715,563145.836,559674.193
Q92530,PSMF1,Proteasome inhibitor PI31 subunit OS=Homo sapiens OX=9606 GN=PSMF1 PE=1 SV=2,228660.8791,211987.0883,228469.5812,215384.3073,208985.562,202694.8348,231356.2047,222054.8513,243492.7228,203934.5298,272260.5465,198076.8032,214987.6991,210432.3225,191534.5605,214755.1071,192941.0283
Q9UPR0,PLCL2,Inactive phospholipase C-like protein 2 OS=Homo sapiens OX=9606 GN=PLCL2 PE=1 SV=2,196841.0177,189118.8779,202878.1761,198513.0464,199647.5428,204734.9907,219532.2156,191849.7195,199500.4597,188835.0807,223773.5881,192805.4524,206526.2961,189540.6027,208929.0223,221404.5277,225033.0732
Q8IZP0,ABI1,Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4,311316.4175,288633.016,295795.5463,256801.2118,276643.9696,307066.6965,330105.5457,316859.131,362951.015,242312.5564,273552.1037,258605.3283,279197.8991,320791.4256,326737.1641,336398.5881,299729.9668
Q8NCM8,DYNC2H1,Cytoplasmic dynein 2 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC2H1 PE=1 SV=4,39830.18279,45268.88211,43093.71203,36645.339,44019.3054,41979.06665,45011.19463,39944.8537,39164.83188,34947.0801,45688.93774,32355.98462,45214.55706,37736.86879,32474.42982,44197.48311,41017.51585
Q9Y5P6,GMPPB,Mannose-1-phosphate guanyltransferase beta OS=Homo sapiens OX=9606 GN=GMPPB PE=1 SV=2,324250.0946,322933.9772,306914.2147,315839.5306,325703.9386,328389.1544,315655.1164,297086.8999,284403.7713,316017.0276,267922.8654,284079.4575,320762.5929,309442.8914,337818.3089,300348.5545,331189.0216
Q9HC21,SLC25A19,Mitochondrial thiamine pyrophosphate carrier OS=Homo sapiens OX=9606 GN=SLC25A19 PE=1 SV=1,168623.7976,142447.8425,168290.5107,179401.0956,178576.5286,199134.7749,190650.0647,168639.7462,131789.7607,183479.8586,173340.6387,149086.6369,174979.7195,140140.1898,184231.9285,166052.7897,186515.384
